movieId,reviews,critic_reviews,metascore,Budget,US_and_Canada_Gross,Opening_Weekend,Global_Gross,Runtime,imdb_rating
7720,39,46,0,0,19096800,0,0,108,6.9
7727,33,14,55,12000000,26186631,3427840,26186631,96,5.4
7728,179,76,84,1683000,0,0,0,113,7.4
7730,87,88,0,13000000,9532895,3601015,9532895,99,6.9
7742,32,22,0,0,0,0,0,82,6.7
7743,113,63,58,25000000,9873044,3607340,9873044,109,6.4
7745,56,44,81,0,1700992,0,1700992,104,7.3
7748,98,111,0,300000,87011,7254,136838,110,7.4
7749,121,84,0,250000,0,0,0,105,6.9
7753,46,9,0,0,0,0,0,89,7.4
7756,102,49,0,0,0,0,2226,112,7.5
7757,202,105,69,2500000,0,0,0,104,7.3
7762,107,20,0,0,0,0,0,290,8.5
7766,177,104,0,0,46808,15942,46808,110,8.1
7767,115,66,89,0,274024,7490,2799773,366,8.5
7772,80,25,0,1644000,0,0,0,116,6.5
7773,82,27,0,0,0,0,0,93,7.7
7781,10,12,65,92000000,33455,9864,33455,93,5.3
7782,80,32,45,0,18994653,5715435,18994653,98,6.1
7786,34,28,0,0,374550,6524,374550,88,7.8
7789,59,60,61,0,127035,7046,1266063,134,6.9
7792,174,103,65,0,0,0,2942,102,7.1
7802,524,169,65,4000000,22490039,3529675,22490471,93,7.5
7810,25,6,0,0,0,0,0,94,7.1
7811,19,6,0,0,0,0,0,94,6.5
7812,33,7,0,0,0,0,0,94,6.8
7815,63,37,67,0,2545142,0,2545459,89,7.2
7820,127,118,0,0,0,0,1528,89,8
7822,91,46,0,3103000,0,0,0,116,6.6
7826,75,25,0,0,0,0,956625,110,6.9
7831,60,33,63,0,3320140,0,4846140,103,7.4
7832,53,36,0,1000000,0,0,0,100,7.3
7833,43,31,63,821000,0,0,0,97,7.2
7834,96,45,0,683000,0,0,0,112,7.6
7835,53,30,0,1670000,0,0,0,86,6.9
7839,51,20,0,889000,0,0,0,99,7.4
7840,129,53,0,1910000,0,0,0,117,7.2
7841,88,19,0,0,0,0,0,266,7.3
7842,308,22,0,0,0,0,0,265,6.9
7843,16,15,0,0,0,0,4202851,93,7.2
7844,41,31,0,0,0,0,0,100,7.1
7845,122,66,0,4000000,0,0,0,100,5.9
7846,120,61,0,6000000,0,0,0,104,5.3
7879,26,27,66,0,1033395,13188,1033395,95,7
7882,103,101,0,0,0,0,0,90,6.6
7883,134,102,0,0,0,0,0,69,7
7884,18,14,0,0,291645,0,0,102,7
7888,58,21,0,0,6322000,0,0,121,7.2
7889,143,67,53,4638783,0,0,7717,122,7.2
7891,236,127,0,300000,0,0,0,86,6.7
7894,175,87,77,0,0,0,980,157,7.6
7895,145,151,80,1500000,0,0,18894,112,7.4
7896,147,63,92,813000,0,0,0,94,7.4
7899,63,69,57,0,21779,6836,21779,93,7.4
7900,86,62,0,0,100437,0,0,101,6.7
7916,50,24,0,0,0,0,0,95,6.6
7920,64,39,0,65000,0,0,0,90,7.1
7924,94,52,0,0,46808,15942,46808,122,7.8
7925,135,103,89,0,46808,15942,46808,139,8.1
7926,168,108,90,0,46808,15942,46808,143,8.4
7930,194,132,57,6000000,24204154,5522250,31347154,102,6.4
7932,47,48,75,0,309648,0,333843,82,7.7
7934,130,55,0,0,11798616,60119,11798616,79,7.7
7936,71,32,0,2800000,0,0,0,103,8
7937,64,42,0,0,0,0,14199,96,7.8
7938,109,65,0,0,0,0,7095,81,8
7939,94,48,84,0,0,0,8939,90,7.9
7940,45,53,86,0,0,0,0,101,7.6
7943,153,116,0,0,0,0,58222,103,7.7
7944,106,39,0,3000000,0,0,4357,125,7.6
7951,165,154,40,11000000,8862354,3708918,9469695,102,6.5
7976,174,82,0,0,0,0,1058905,93,5.8
7979,38,47,77,0,1524,1524,0,78,8
7980,292,63,63,27000000,50750000,0,50750000,175,7.4
7981,244,183,75,6428966,169659,25680,8836958,101,8
